-andy Andy
-breaker Uwe Freese
-bryant Dave Bryant
-hbacke Henrik Backe
-len0x Anton Oleynikov
-lenzone10 Alessio Lenzi
-pbv Pedro Vasconcelos
-raenye Rani Hod
-rdjackso Ryan Jackson
__builtin Franklin Wei
[idc]dragon Jörg Hohensohn
alex Alex Parker
alexp Alex Parker
aliask Will Robertson
alle Alexander Levin
amiconn Jens Arnold
archivator Delyan Kratunov
austriancoder Christian Gmeiner
b0hoon Szymon Dziok
b4gder Daniel Stenberg
bagder Daniel Stenberg
barrywardell Barry Wardell
bertrik Bertrik Sikken
bger Hristo Kovachev
bieber Robert Bieber
blue_dude Jeffrey Goode
bluebrother Dominik Riebeling
bobc Bob Cousins
buschel Andree Buschmann
christi Christi Scarborough
creposucre Laurent Gautier
dan_a Daniel Ankers
debauched_sloth Greg White
desowin Tomasz Mon
dionoea Antoine Cellerier
domonoky Dominik Wenger
dreamlayers Boris Gjenero
earhertz TP Diffenbach
eigma Catalin Patulea
febs Michael DiFebbo
flyndice Jack Halpin
fredwbauer Fred Bauer
funman Rafael Carre
gevaerts Frank Gevaerts
godeater Bryan Childs
gotthardt Steve Gotthardt
hardeep Hardeep Sidhu
hcl Michiel Van Der Kolk
hcs Adam Gashlin
jdgordon Jonathan Gordon
jhmikes Mike Sevakis
jyp Jean-Philippe Bernardy
kjer Kjell Ericson
kkurbjun Karl Kurbjun
kugel Thomas Martitz
lamed Shachar Liberman
lear Magnus Holmgren
linusn Linus Nielsen Feltzing
linuxstb Dave Chapman
llorean Paul Louden
lostlogic Brandon Low
lowlight Mark Arigo
marcguay Marc Guay
markun Marcoen Hirschberg
matsl Mats Lidell
mc2739 Michael Chicoine
mcuelenaere Maurus Cuelenaere
midgey Tom Ross
midkay Zakk Roberts
mmmmm Martin Scarratt
moos Mustapha Senhaji
mt Mohamed Tarek
n1s Nils Wallménius
nico_p Nicolas Pennequin
niobos Niels Laukens
obo Robert Keevil
pamaury Amaury Pouly
paprica Ben Basha
petur Peter D'Hoye
phaedrus961 Frank Dischner
pixelma Marianne Arnold
pondlife Steve Bavin
preglow Thom Johansen
ptw419 James Espinoza
quelsaruk Jose Maria Garcia-Valdecasas Bernal
ranma Tobias Diedrich
rasher Jonas Häggqvist
rmenes Robert Menes
roolku Robert Kukla
rotator Adam Boot
safetydan Dan Everton
saratoga Michael Giacomelli
scorche Austin Appel
scorche|sh Austin Appel
sdoyon Stéphane Doyon
shotofadds Rob Purchase
sideral Michael Hohmuth
slasheri Miika Pekkarinen
stevenm Stepan Moskovchenko
stripwax Dave Hooper
stummi Michael Stummvoll
t0mas Tomas Salfischberger
teru Teruaki Kawashima
theli_ua Anton Romanov
theseven Michael Sparmann
thomasjfox Thomas Jarosch
timid Kevin Ferrare
tomal Tomek Malesinski
tomers Tomer Shalev
toni1 Antonius Hellmann
torne Torne Wuff
tucoz Martin Arver
ubuntuxer Johannes Schwarz
uchida Yoshihisa Uchida
ulmutul Sebastian Leonhardt
unhelpful Andrew Mahone
wincent Wincent Balin
wodz Marcin Bukat
zagor Björn Stenberg
